championship_name,event__name,round_name,rank,name,dob,score
2018 Asian Games,Trap Women,Qualification,10,PAK Yong Hui,24 AUG 1970,112
2018 Asian Games,Trap Women,Qualification,11,AL ABDULLA Amna Mesaad,1 NOV 1980,111
2018 Asian Games,Trap Women,Qualification,12,LIN Yichun,5 JUL 1981,111
2018 Asian Games,Trap Women,Qualification,13,ALHAWAL Shahd,6 MAR 1987,110
2018 Asian Games,Trap Women,Qualification,14,FARAHPOUR BIDGOLI Shiva,,110
2018 Asian Games,Trap Women,Qualification,15,ALHAWAL Sarah,6 MAR 1987,109
2018 Asian Games,Trap Women,Qualification,16,KITCHAROEN Chattaya,17 AUG 1990,108
2018 Asian Games,Trap Women,Qualification,17,DAVYDOVA Anastassiya,13 FEB 1985,107
2018 Asian Games,Trap Women,Qualification,18,PRAMUANCHOK Napapha,28 APR 1985,107
2018 Asian Games,Trap Women,Qualification,19,SIRANI Sepideh,4 SEP 1989,107
2018 Asian Games,Trap Women,Qualification,20,NAKAYAMA Yukie,7 MAR 1979,106
2018 Asian Games,Trap Women,Qualification,21,KIM Yong Bok,18 JUL 1984,105
2018 Asian Games,Trap Women,Qualification,22,AL KHALAF Kholoud Hassan,,105
2018 Asian Games,Trap Women,Qualification,23,SILIMANG Sylvia,8 SEP 1970,96
2018 Asian Games,Trap Women,Qualification,24,SARMUNAH Sarmunah,28 MAY 1968,90
2018 Asian Games,Trap Women,Qualification,25,ZORIGOO Namduun,2 AUG 1997,12
2018 Asian Games,Skeet Women,Final,1,JIEWCHALOEMMIT Sutiya,3 MAY 1986,55
2018 Asian Games,Skeet Women,Final,2,WEI Meng,14 JUN 1989,54
2018 Asian Games,Skeet Women,Final,3,KIM Minji,17 FEB 1989,42
2018 Asian Games,Skeet Women,Final,4,ALSHAMMA Eman,18 FEB 1989,32
2018 Asian Games,Skeet Women,Final,5,ZHANG Donglian,11 OCT 1982,22
2018 Asian Games,Skeet Women,Final,6,PANARINA Olga,26 MAR 1970,14
2018 Asian Games,Skeet Women,Qualification,1,ZHANG Donglian,11 OCT 1982,121
2018 Asian Games,Skeet Women,Qualification,2,WEI Meng,14 JUN 1989,120
2018 Asian Games,Skeet Women,Qualification,3,JIEWCHALOEMMIT Sutiya,3 MAY 1986,119
2018 Asian Games,Skeet Women,Qualification,4,PANARINA Olga,26 MAR 1970,2
2018 Asian Games,Skeet Women,Qualification,5,KIM Minji,17 FEB 1989,1
2018 Asian Games,Skeet Women,Qualification,6,ALSHAMMA Eman,18 FEB 1989,115
2018 Asian Games,Skeet Women,Qualification,7,ISHIHARA Naoko,22 OCT 1974,114
2018 Asian Games,Skeet Women,Qualification,8,ORYNBAY Assem,7 SEP 1993,114
2018 Asian Games,Skeet Women,Qualification,9,SON Hye Kyoung,4 MAR 1976,113
2018 Asian Games,Skeet Women,Qualification,10,SEKHON Ganemat,29 NOV 2000,112
2018 Asian Games,Skeet Women,Qualification,11,SUTARPORN Nutchaya,21 MAY 1987,111
2018 Asian Games,Skeet Women,Qualification,12,RATHORE Rashmi,10 NOV 1982,111
2018 Asian Games,Skeet Women,Qualification,13,MOHAMMED Sarah Ghulam,24 FEB 1996,110
2018 Asian Games,Skeet Women,Qualification,14,ORIHARA Rika,21 FEB 1997,107
2018 Asian Games,Skeet Women,Qualification,15,ALRASHIDI Shaikhah,25 JAN 1978,105
2018 Asian Games,Skeet Women,Qualification,16,HASSANI Maryam,8 OCT 1993,105
2018 Asian Games,Skeet Women,Qualification,17,MOHAMMED Hajar Ghulam,24 FEB 1996,102
2018 Asian Games,Skeet Women,Qualification,18,FEBRIANA Fany,7 FEB 1998,71
2018 Asian Games,Skeet Women,Qualification,19,SARMUNAH Sarmunah,28 MAY 1968,60
2018 Asian Games,Double Trap Women,Competition,1,LI Qingnian,23 MAR 1981,136
2018 Asian Games,Double Trap Women,Competition,2,BAI Yiting,31 JUL 1982,134
2018 Asian Games,Double Trap Women,Competition,3,DMITRIYENKO Mariya,24 MAR 1988,125
2018 Asian Games,Double Trap Women,Competition,4,LEE Bona,22 JUL 1981,124
2018 Asian Games,Double Trap Women,Competition,5,KANG Geeeun,15 OCT 1990,121
2018 Asian Games,Double Trap Women,Competition,6,SINGH Shreyasi,29 AUG 1991,121
2018 Asian Games,Double Trap Women,Competition,7,VARMAN Varsha,1 JUN 1994,120
2018 Asian Games,Double Trap Women,Competition,8,SILIMANG Sylvia,8 SEP 1970,114
2018 Asian Games,Double Trap Women,Competition,9,DAVYDOVA Anastassiya,13 FEB 1985,112
2018 Asian Games,Double Trap Women,Competition,10,KITCHAROEN Chattaya,17 AUG 1990,108
2018 Asian Games,Double Trap Women,Competition,11,AL KHALAF Kholoud Hassan,,106
2018 Asian Games,Double Trap Women,Competition,12,AL ABDULLA Amna Mesaad,1 NOV 1980,102
2018 Asian Games,Double Trap Women,Competition,13,FARAHPOUR BIDGOLI Shiva,,94
2018 Asian Games,Double Trap Women,Competition,14,PRAMUANCHOK Napapha,28 APR 1985,90
2018 Asian Games,Double Trap Women,Competition,15,SARMUNAH Sarmunah,28 MAY 1968,84
2018 Asian Games,10m Air Rifle Mixed Team,Final,1,LIN Yingshin F,22 APR 1999,494.1
2018 Asian Games,10m Air Rifle Mixed Team,Final,1,LU Shaochuan M,24 MAR 1997,494.1
2018 Asian Games,10m Air Rifle Mixed Team,Final,2,ZHAO Ruozhu F,7 AUG 1998,492.5
2018 Asian Games,10m Air Rifle Mixed Team,Final,2,YANG Haoran M,22 FEB 1996,492.5
2018 Asian Games,10m Air Rifle Mixed Team,Final,3,CHANDELA Apurvi F,4 JAN 1993,429.9
2018 Asian Games,10m Air Rifle Mixed Team,Final,3,KUMAR Ravi M,1 JAN 1990,429.9
2018 Asian Games,10m Air Rifle Mixed Team,Final,4,JUNG Eunhea F,27 SEP 1989,389.4
2018 Asian Games,10m Air Rifle Mixed Team,Final,4,KIM Hyeonjun M,18 OCT 1992,389.4
2018 Asian Games,10m Air Rifle Mixed Team,Final,5,GANKHUYAG Nandinzaya F,27 JUN 1994,346.6
2018 Asian Games,10m Air Rifle Mixed Team,Final,5,NYANTAI Bayaraa M,25 SEP 1991,346.6
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,1,JUNG Eunhea,27 SEP 1989,418.8
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,1,KIM Hyeonjun,18 OCT 1992,417.9
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,2,CHANDELA Apurvi,4 JAN 1993,415.3
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,2,KUMAR Ravi,1 JAN 1990,420.0
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,3,GANKHUYAG Nandinzaya,27 JUN 1994,417.7
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,3,NYANTAI Bayaraa,25 SEP 1991,414.4
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,4,ZHAO Ruozhu,7 AUG 1998,416.9
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,4,YANG Haoran,22 FEB 1996,414.2
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,5,LIN Yingshin,22 APR 1999,417.9
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,5,LU Shaochuan,24 MAR 1997,411.9
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,6,P VELOSO Martina Lindsay,,417.9
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,6,BIN ABDUL RAHMAN Mohamad Irwan,,411.8
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,7,KHEDMATI Najmeh,9 JUN 1996,413.5
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,7,NEKOUNAM Amirmohammad,15 JUL 1998,414.9
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,8,SHIMIZU Ayano,18 NOV 1990,412.8
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,8,SHIMADA Atsushi,20 JUL 1998,410.5
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,9,DARYANTI Monica,30 JUL 1994,411.0
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,9,MAHARDIKA Muhammad Naufal,,410.1
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,10,ROSLI Nur Izazi,17 AUG 2000,413.1
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,10,OTHMAN Mohamad Lutfi,6 NOV 1994,407.4
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,11,STAROSTINA Violetta,13 MAY 1998,407.1
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,11,KLEIMYONOV Alexey,9 JAN 1984,411.6
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,12,CHOTPHIBUNSIN Thanyalak,,405.2
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,12,PANYATONG Pongsaton,25 MAR 1996,410.8
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,13,HASAN Sayeda Atkia,1 JAN 1998,405.0
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,13,SHARAR Arnab,14 NOV 2001,409.9
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,14,PARDABAEVA Zaynab,2 MAY 2001,401.0
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,14,SKOROVAROV Vadim,4 AUG 1996,412.7
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,15,LAGUTENKO Malika,15 MAY 2000,410.6
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,15,VALIEV Todzhiddin,18 SEP 1982,402.4
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,16,AL TARSHI Amina Khamis Abdullah,,408.2
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,16,ISSAM BADAR DOSHA.,,403.0
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,17,MAHBOOB Marwa,31 JAN 1990,401.4
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,17,ALHEFEITI Ahmed,18 MAY 2001,408.3
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,18,RI Un Gyong,23 MAY 1989,406.5
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,18,RYONG Song Gang,1 JUL 1986,403.2
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,19,SOHAIL Minhal,3 JAN 1995,399.8
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,19,FARID Zeeshan Ul Shakir,,407.7
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,20,IWAKI Ai,1 SEP 2000,403.2
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,20,NGUYEN Duy Hoang,5 AUG 1985,403.2
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,21,AL ASEIRI Matara Fahad,4 MAR 1984,396.5
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,21,AL ALI Ahmed Mohsen,30 DEC 1997,404.2
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,22,NEPA Sushmita,3 OCT 2000,403.5
2018 Asian Games,10m Air Rifle Mixed Team,Qualification,22,CHAUDHARY Sushe,25 FEB 1987,372.9
2018 Asian Games,10m Air Pistol Mixed Team,Final,1,JI Xiaojing F,18 JUN 1988,473.2
2018 Asian Games,10m Air Pistol Mixed Team,Final,1,WU Jiayu M,30 APR 1997,473.2
2018 Asian Games,10m Air Pistol Mixed Team,Final,2,KIM Minjung F,26 MAR 1997,467.6
2018 Asian Games,10m Air Pistol Mixed Team,Final,2,LEE Daemyung M,14 SEP 1988,467.6
2018 Asian Games,10m Air Pistol Mixed Team,Final,3,LE Thi Linh Chi F,4 JAN 1976,407.5
2018 Asian Games,10m Air Pistol Mixed Team,Final,3,TRAN Quoc Cuong M,27 JUL 1974,407.5
2018 Asian Games,10m Air Pistol Mixed Team,Final,4,SATO Akiko F,9 FEB 1984,362.2
2018 Asian Games,10m Air Pistol Mixed Team,Final,4,MATSUDA Tomoyuki M,12 DEC 1975,362.2
2018 Asian Games,10m Air Pistol Mixed Team,Final,5,BAIBUSSINOVA Zauresh F,13 JUL 1970,323.9
2018 Asian Games,10m Air Pistol Mixed Team,Final,5,ISSACHENKO Vladimir M,27 DEC 1982,323.9
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,1,JI Xiaojing,18 JUN 1988,381-10x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,1,WU Jiayu,30 APR 1997,388-11x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,2,KIM Minjung,26 MAR 1997,384-14x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,2,LEE Daemyung,14 SEP 1988,384-11x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,3,SATO Akiko,9 FEB 1984,375
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,3,MATSUDA Tomoyuki,12 DEC 1975,391-18x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,4,LE Thi Linh Chi,4 JAN 1976,378
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,4,TRAN Quoc Cuong,27 JUL 1974,384-14x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,5,BAIBUSSINOVA Zauresh,13 JUL 1970,377
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,5,ISSACHENKO Vladimir,27 DEC 1982,382-16x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,6,BHAKER Manu,18 FEB 2002,378
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,6,VERMA Abhishek,1 AUG 1989,381
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,6,SHING Ho Ching,1 MAR 1994,380-13x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,6,WONG Siu Lung,1 APR 1964,378
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,8,PRUCKSAKORN Tanyaporn,8 JAN 1990,379-10x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,8,KULCHAIRATTANA Pongpol,29 OCT 1988,379
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,9,ROSTAMIYAN Haniyeh,11 SEP 1998,381-11x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,9,BARKHORDARI Ebrahim,14 SEP 1982,376-10x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,10,CHEAH Joseline Lee Yean,,374-14x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,10,WONG Johnathan Guanjie,23 AUG 1992,381
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,11,TUMURCHUDUR Bayartsetseg,,375
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,11,ENKHTAIVAN Davaakhuu,12 JUN 1989,380
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,12,TEH Xiu Hong,11 MAR 1994,373
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,12,GAI Bin,2 JUN 1968,380-13x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,13,MAY POE Wah,1 SEP 1988,369
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,13,YE TUN Naung,26 MAY 1983,383-13x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,14,AL BALUSHI Wadha Nasiir Nasser,,373
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,14,AL-ABRI Ismail Nasser Khamis,,378-11x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,15,HAN Yong Sim,22 FEB 1998,365
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,15,KIM Song Guk,5 OCT 1985,386-10x
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,16,ALALI Wafa,9 NOV 1980,374
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,16,ALAMEERI Ahmed,8 DEC 1982,373
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,17,ALMUBARAK Aldana Saad,1 SEP 1993,369
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,17,AL SHAIBA Osama Abdulnasser,,376
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,18,ALMIRA Talitha Judith,31 MAY 1995,368
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,18,PRATAMA Deny,10 FEB 1995,373
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,19,FERDOUS Ardina,14 FEB 1993,369
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,19,ALIF Noor Hasan,20 SEP 1991,365
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,20,PHOMMAKONG Viengsavanh,5 DEC 1985,366
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,20,PHALICHAN Phatthana,27 JUL 1974,351
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,21,LAGUTENKO Dilorom,23 JAN 1969,354
2018 Asian Games,10m Air Pistol Mixed Team,Qualification,21,FAYZULLAEV Bezhan,5 SEP 2002,358
2018 Asian Games,Trap Mixed Team,Final,1,BASSIL Ray F,20 OCT 1988,43
2018 Asian Games,Trap Mixed Team,Final,1,MOUSSA Alain M,1 JAN 1984,43
2018 Asian Games,Trap Mixed Team,Final,2,LIN Yichun F,5 JUL 1981,42
2018 Asian Games,Trap Mixed Team,Final,2,YANG Kunpi M,11 AUG 1998,42
2018 Asian Games,Trap Mixed Team,Final,3,WANG Xiaojing F,3 MAY 1992,31
2018 Asian Games,Trap Mixed Team,Final,3,DU Yu M,19 OCT 1986,31
2018 Asian Games,Trap Mixed Team,Final,4,ALHAWAL Sarah F,6 MAR 1987,26
2018 Asian Games,Trap Mixed Team,Final,4,ALMUDAF Khaled M,12 JUN 1978,26
2018 Asian Games,Trap Mixed Team,Final,5,KANG Geeeun F,15 OCT 1990,22
2018 Asian Games,Trap Mixed Team,Final,5,AHN Daemyeong M,23 NOV 1990,22
2018 Asian Games,Trap Mixed Team,Final,6,SINGH Shreyasi F,29 AUG 1991,16
2018 Asian Games,Trap Mixed Team,Final,6,LAKSHAY Lakshay M,4 NOV 1998,16
2018 Asian Games,Trap Mixed Team,Qualification,1,YANG Kunpi,11 AUG 1998,74
2018 Asian Games,Trap Mixed Team,Qualification,1,LIN Yichun,5 JUL 1981,72
2018 Asian Games,Trap Mixed Team,Qualification,2,DU Yu,19 OCT 1986,74
2018 Asian Games,Trap Mixed Team,Qualification,2,WANG Xiaojing,3 MAY 1992,72
2018 Asian Games,Trap Mixed Team,Qualification,3,MOUSSA Alain,1 JAN 1984,74
2018 Asian Games,Trap Mixed Team,Qualification,3,BASSIL Ray,20 OCT 1988,69
2018 Asian Games,Trap Mixed Team,Qualification,4,AHN Daemyeong,23 NOV 1990,72
2018 Asian Games,Trap Mixed Team,Qualification,4,KANG Geeeun,15 OCT 1990,71
2018 Asian Games,Trap Mixed Team,Qualification,5,LAKSHAY Lakshay,4 NOV 1998,72
2018 Asian Games,Trap Mixed Team,Qualification,5,SINGH Shreyasi,29 AUG 1991,70
2018 Asian Games,Trap Mixed Team,Qualification,6,ALMUDAF Khaled,12 JUN 1978,72
2018 Asian Games,Trap Mixed Team,Qualification,6,ALHAWAL Sarah,6 MAR 1987,66
2018 Asian Games,Trap Mixed Team,Qualification,7,AL RUMAIHI Mohammed Ahmed,,71
2018 Asian Games,Trap Mixed Team,Qualification,7,AL KHALAF Kholoud Hassan,,67
2018 Asian Games,Trap Mixed Team,Qualification,8,MOGILEVSKIY Andrey,18 JUN 1989,65
2018 Asian Games,Trap Mixed Team,Qualification,8,SEREDA Oxana,8 OCT 1987,68
2018 Asian Games,Trap Mixed Team,Qualification,9,SRESTHAPORN Savate,13 APR 1963,70
2018 Asian Games,Trap Mixed Team,Qualification,9,KITCHAROEN Chattaya,17 AUG 1990,62
2018 Asian Games,Trap Mixed Team,Qualification,10,PARVARESH NIA Mohammad Hossein,,69
2018 Asian Games,Trap Mixed Team,Qualification,10,SIRANI Sepideh,4 SEP 1989,59
2018 Asian Games,Trap Mixed Team,Qualification,11,RIADI Slamet,12 APR 1974,62
2018 Asian Games,Trap Mixed Team,Qualification,11,SILIMANG Sylvia,8 SEP 1970,61
2022 Asian Games,10m Air Rifle Men,Final,1,SHENG Lihao,04 Dec 2004,253.3
2022 Asian Games,10m Air Rifle Men,Final,2,PARK Hajun,19 Apr 2000,251.3
2022 Asian Games,10m Air Rifle Men,Final,3,TOMAR Aishwary Pratap Singh,03 Feb 2001,228.8
2022 Asian Games,10m Air Rifle Men,Final,4,PATIL RUDRANKKA Balasaheb,,208.7
2022 Asian Games,10m Air Rifle Men,Final,5,NYANTAI Bayaraa,25 Sep 1991,187.1
2022 Asian Games,10m Air Rifle Men,Final,6,SATPAYEV Islam,21 Sep 1998,165.9
2022 Asian Games,10m Air Rifle Men,Final,7,TORTUNGPANICH Napis,29 Mar 1995,144.5
2022 Asian Games,10m Air Rifle Men,Final,8,DU Linshu,05 Apr 2003,122.9
2022 Asian Games,10m Air Rifle Men,Qualification,1,SHENG Lihao,04 Dec 2004,634.5
2022 Asian Games,10m Air Rifle Men,Qualification,2,PARK Hajun,19 Apr 2000,632.8
2022 Asian Games,10m Air Rifle Men,Qualification,3,PATIL RUDRANKKA Balasaheb,,632.5
2022 Asian Games,10m Air Rifle Men,Qualification,4,TORTUNGPANICH Napis,29 Mar 1995,631.8
2022 Asian Games,10m Air Rifle Men,Qualification,5,TOMAR Aishwary Pratap Singh,03 Feb 2001,631.6
2022 Asian Games,10m Air Rifle Men,Qualification,6,NYANTAI Bayaraa,25 Sep 1991,630.4
2022 Asian Games,10m Air Rifle Men,Qualification,7,DU Linshu,05 Apr 2003,630.0
2022 Asian Games,10m Air Rifle Men,Qualification,8,PANWAR Divyansh Singh,19 Oct 2002,629.6
2022 Asian Games,10m Air Rifle Men,Qualification,9,SATPAYEV Islam,21 Sep 1998,629.6
2022 Asian Games,10m Air Rifle Men,Qualification,10,NOROUZIYAN Pourya,22 Jan 1992,629.2
2022 Asian Games,10m Air Rifle Men,Qualification,11,KIM Sangdo,29 May 1987,629.1
2022 Asian Games,10m Air Rifle Men,Qualification,12,NEKOUNAM Amirmohammad,15 Jul 1998,628.8
2022 Asian Games,10m Air Rifle Men,Qualification,13,NAM Taeyun,23 Mar 1998,628.2
2022 Asian Games,10m Air Rifle Men,Qualification,14,ENDOH Masaya,16 Feb 1998,628.0
2022 Asian Games,10m Air Rifle Men,Qualification,15,SOKHIBOV Javokhir,06 Jun 2005,627.8
2022 Asian Games,10m Air Rifle Men,Qualification,16,SHIMADA Atsushi,20 Jul 1998,627.7
2022 Asian Games,10m Air Rifle Men,Qualification,17,SEDAGHAT Mahyar,18 Apr 1996,627.6
2022 Asian Games,10m Air Rifle Men,Qualification,18,SHARAR Arnab,14 Nov 2001,626.2
2022 Asian Games,10m Air Rifle Men,Qualification,19,MALINOVSKIY Konstantin,03 Aug 1999,625.9
2022 Asian Games,10m Air Rifle Men,Qualification,20,TANG Hong An,14 Jul 2004,625.8
2022 Asian Games,10m Air Rifle Men,Qualification,21,WONG Zen Joi Lionel,28 Apr 2005,625.7
2022 Asian Games,10m Air Rifle Men,Qualification,22,ALAM Md Tamjid Bin,02 May 2002,625.5
2022 Asian Games,10m Air Rifle Men,Qualification,23,GUSTAFIAN Fathur,21 Aug 1998,625.1
2022 Asian Games,10m Air Rifle Men,Qualification,24,ALAMMARI Mesfer Aboud S,15 Sep 1987,624.5
2022 Asian Games,10m Air Rifle Men,Qualification,25,AL BALUSHI Issam Badar Doshambeh,04 Aug 1988,624.5
2022 Asian Games,10m Air Rifle Men,Qualification,26,PANYATONG Pongsaton,25 Mar 1996,624.5
2022 Asian Games,10m Air Rifle Men,Qualification,27,LU Shao Chuan,24 Mar 1997,624.4
2022 Asian Games,10m Air Rifle Men,Qualification,28,ISLAM Md Robiul,12 Mar 1999,623.9
2022 Asian Games,10m Air Rifle Men,Qualification,29,YU Haonan,12 Apr 1999,623.7
2022 Asian Games,10m Air Rifle Men,Qualification,30,BINMAD Chanon,07 Jul 2000,622.8
2022 Asian Games,10m Air Rifle Men,Qualification,31,ADIL Ghufran,08 Dec 1993,622.7
2022 Asian Games,10m Air Rifle Men,Qualification,32,HESSLY HAFIZ Haritz Iklil,25 Oct 2000,622.6
2022 Asian Games,10m Air Rifle Men,Qualification,33,HAJI Mahmood Ali Ebrahim Ali,11 Mar 1991,622.4
2022 Asian Games,10m Air Rifle Men,Qualification,34,BATBAYAR Erkhembayar,11 Apr 2005,622.3
2022 Asian Games,10m Air Rifle Men,Qualification,35,CHEN Chun An,,622.1
2022 Asian Games,10m Air Rifle Men,Qualification,36,ABDULLA Ibrahim,,622.0
2022 Asian Games,10m Air Rifle Men,Qualification,37,SUNG Chia Yen,,621.9
2022 Asian Games,10m Air Rifle Men,Qualification,38,SHIMIZU Akihito,,620.9
2022 Asian Games,10m Air Rifle Men,Qualification,39,ALDOSERI Khalid Mohammed Salman,,620.5
2022 Asian Games,10m Air Rifle Men,Qualification,40,WIBOWO Davin Rosyiid,14 Jul 1999,620.0
2022 Asian Games,10m Air Rifle Men,Qualification,41,ALMUTAIRI Ali,,618.3
2022 Asian Games,10m Air Rifle Men,Qualification,42,VALDEZ Jayson,,617.4
2022 Asian Games,10m Air Rifle Men,Qualification,43,AL-MUHANNADI Ali,03 Oct 1990,617.1
2022 Asian Games,10m Air Rifle Men,Qualification,44,LATIF Aqib,05 Oct 1994,616.7
2022 Asian Games,10m Air Rifle Men,Qualification,45,ALI Husain Abduljabbar Ahmed,,616.7
2022 Asian Games,10m Air Rifle Men,Qualification,46,YURKOV Yuriy,11 Mar 1983,616.3
2022 Asian Games,10m Air Rifle Men,Qualification,47,ALOTIBI Bader Turkey M,,615.8
2022 Asian Games,10m Air Rifle Men,Qualification,48,ALHARBI Abdullah,,615.3
2022 Asian Games,10m Air Rifle Men,Qualification,49,SKOROVAROV Vadim,,615.1
2022 Asian Games,10m Air Rifle Men,Qualification,50,ALHARBI Hussain Ghuwayli G,,614.5
2022 Asian Games,10m Air Rifle Men,Qualification,51,ALSUBAIEI Saud,,613.6
2022 Asian Games,10m Air Rifle Men,Qualification,52,TSEDEVDORJ Munkh-Erdene,,611.4
2022 Asian Games,10m Air Rifle Men,Qualification,53,FARID Zeeshan Ul Shakir,,608.4
2022 Asian Games,10m Air Rifle Men,Qualification,54,SHIFAN Ibrahim,,603.4
2022 Asian Games,10m Air Rifle Team Men,Final,1,TOMAR Aishwary Pratap Singh,03 Feb 2001,631.6
2022 Asian Games,10m Air Rifle Team Men,Final,1,PANWAR Divyansh Singh,19 Oct 2002,629.6
2022 Asian Games,10m Air Rifle Team Men,Final,1,PATIL RUDRANKKA Balasaheb,,632.5
2022 Asian Games,10m Air Rifle Team Men,Final,2,PARK Hajun,19 Apr 2000,632.8
2022 Asian Games,10m Air Rifle Team Men,Final,2,NAM Taeyun,23 Mar 1998,628.2
2022 Asian Games,10m Air Rifle Team Men,Final,2,KIM Sangdo,29 May 1987,629.1
2022 Asian Games,10m Air Rifle Team Men,Final,3,SHENG Lihao,04 Dec 2004,634.5
2022 Asian Games,10m Air Rifle Team Men,Final,3,YU Haonan,12 Apr 1999,623.7
2022 Asian Games,10m Air Rifle Team Men,Final,3,DU Linshu,05 Apr 2003,630.0
2022 Asian Games,10m Air Rifle Team Men,Final,4,NOROUZIYAN Pourya,22 Jan 1992,629.2
2022 Asian Games,10m Air Rifle Team Men,Final,4,SEDAGHAT Mahyar,18 Apr 1996,627.6
2022 Asian Games,10m Air Rifle Team Men,Final,4,NEKOUNAM Amirmohammad,15 Jul 1998,628.8
2022 Asian Games,10m Air Rifle Team Men,Final,5,TORTUNGPANICH Napis,29 Mar 1995,631.8
2022 Asian Games,10m Air Rifle Team Men,Final,5,BINMAD Chanon,07 Jul 2000,622.8
2022 Asian Games,10m Air Rifle Team Men,Final,5,PANYATONG Pongsaton,25 Mar 1996,624.5
2022 Asian Games,10m Air Rifle Team Men,Final,6,SHIMADA Atsushi,20 Jul 1998,627.7
